,Carbon Dioxide,Nitrogen,Methane,Ethane,Propane,iButane,nButane,iPentane,nPentane,nHexane,nHeptane,Tc_NR,Vc_NR,Pc_NR
0,9.35E-05,0.149489091,0.118597651,0.071971247,0.027395673,0.160022089,0.026167601,0.099230156,0.248310293,0.09796287,0.000759867,435.4658508,0.000227357,8113362
1,0.000160694,0.008796037,0.108452404,0.034568687,0.354049612,0.145875764,0.005540856,0.004540125,0.178561002,0.11573621,0.04371861,433.2156372,0.000247645,5866008
2,0.000398936,0.068610901,0.187136368,0.064642088,0.153507105,0.081568343,0.101343132,0.089067241,0.035939472,0.127135134,0.09065128,440.8025818,0.000226045,8075938
3,0.000427905,0.297790348,0.104089707,0.187678507,0.064006578,0.010612998,0.02820285,0.027553411,0.11766772,0.147095438,0.014874539,415.2922058,0.000159085,14596918
4,0.000613441,0.250347701,0.055622066,0.079944123,0.067236288,0.048419191,0.119141212,0.01718814,0.113994311,0.033307654,0.214185873,461.9129944,0.000224005,10341994
5,0.000887463,0.121518949,0.045165108,0.098227146,0.035273912,0.005776198,0.111474677,0.021607755,0.322107119,0.141541303,0.096420372,465.3021851,0.00027397,6638145
6,0.000935713,0.063360276,0.150306529,0.037622525,0.04214948,0.10497577,0.060586197,0.145651772,0.166004728,0.032791936,0.195615075,466.3109741,0.000272191,6720202
7,0.000974355,0.043286465,0.093328659,0.052973274,0.123320638,0.00589059,0.244069911,0.108508865,0.053814976,0.131711553,0.142120713,461.1414795,0.00027596,6000571
8,0.001074731,0.047670991,0.080205115,0.016360456,0.37823014,0.00922476,0.045049657,0.122378451,0.004981886,0.101421151,0.193402661,458.663269,0.00026429,6388837
9,0.001090469,0.000961257,0.153884349,0.00417766,0.104403554,0.082122351,0.066463718,0.041597419,0.229215609,0.181915356,0.134168258,470.1505432,0.000297913,5465455
10,0.001121687,0.064419807,0.091953297,0.00235183,0.220398699,0.152059031,0.085801688,0.0042355,0.105009457,0.241694472,0.030954532,448.4560852,0.000260975,6238133
11,0.001294157,0.097810971,0.07038798,0.0574859,0.09671263,0.104632791,0.073793813,0.152301939,0.277096996,0.023691981,0.044790844,442.7419128,0.00025476,6443589
12,0.001363641,0.094612033,0.022736959,0.234184326,0.11054937,0.109853902,0.007464705,0.041133811,0.067829753,0.129441101,0.180830397,458.3274536,0.000251164,7317522
13,0.001433907,0.331933261,0.062624573,0.037571435,0.143382303,0.078180414,0.013824073,0.152684854,0.078128829,0.054666592,0.045569759,422.7850952,0.000176327,12938670
14,0.001470785,0.1827574,0.070811996,0.062798242,0.01137399,0.13496805,0.186322282,0.091693467,0.036232778,0.188948476,0.032622536,445.1741333,0.000233072,8301263
15,0.001484397,0.063024274,0.118054418,0.044137679,0.102794995,0.071847789,0.100277133,0.375033919,0.006171303,0.103951527,0.013222566,440.111084,0.000254722,6284989
16,0.00159143,0.153937664,0.11986829,0.160749865,0.085513252,0.0508091,0.067934087,0.034523039,0.068132418,0.024417841,0.232523013,455.7658386,0.000219247,9925766
17,0.001640555,0.01703287,0.028213232,0.094658684,0.134497643,0.053736271,0.035560433,0.187367147,0.393925577,0.032121229,0.021246357,447.9360657,0.000288761,4747573
18,0.001748316,0.099742046,0.004949413,0.050370279,0.07515512,0.072515409,0.09308076,0.261135649,0.042433135,0.141184048,0.157685825,472.0072021,0.000300606,5599875
19,0.001992968,0.210941961,0.03285929,0.020186937,0.18023572,0.255144896,0.060758054,0.090427281,0.044248042,0.03955705,0.0636478,425.3973694,0.000212528,8631042
20,0.002048009,0.118980707,0.005839982,0.0491978,0.02155896,0.161279181,0.070089982,0.209277772,0.031768561,0.319657751,0.010301295,463.8866272,0.000291914,5742016
21,0.002063951,0.003904241,0.031204257,0.035030498,0.078920345,0.199903832,0.042852613,0.278242834,0.015832509,0.079529966,0.232514953,475.2892456,0.000327202,4428100
