,C30+,C25-C29,C20-C24,C16-C19,C13-C14-C15,C10-C11-C12,C7-C8-C9,C6,n-C5-i-C5,n-C4-i-C4,C3,C2,C1-CO2-N2,Tc_NR,Vc_NR,Pc_NR
0,0.000112621,0.012879082,0.15722957,0.071602933,0.002702947,0.152280374,0.016732211,0.198231987,0.039109163,0.169520909,0.00939503,0.027343497,0.142859677,671.2879639,0.000501784,6604248
1,0.000144319,0.112239315,0.078049274,0.083911042,0.022142822,0.01746689,0.22524198,0.017526838,0.119732488,0.189834536,0.017965821,0.102653215,0.013091461,691.6900635,0.000559747,5958659
2,0.000326462,0.103750632,0.109597788,0.008525666,0.059264713,0.044610832,0.420904556,0.110817665,0.004501047,0.005403231,0.056582217,0.02722365,0.04849154,691.0259399,0.000598283,5069059
3,0.000353529,0.121486067,0.104354733,0.442107518,0.011795903,0.013129415,0.046543668,0.003089797,0.021435534,0.044727996,0.087391132,0.05828327,0.045301438,739.5009766,0.000900707,3337999
4,0.000360356,0.014661728,0.157362785,0.015460727,0.132690409,0.162593937,0.006644102,0.001208834,0.132581552,0.161367681,0.078515194,0.03601451,0.100538183,673.7974854,0.000527542,6103473
5,0.00038743,0.048747588,0.134848747,0.044311357,0.346356468,0.061027866,0.076206452,0.024932365,0.036874165,0.05244825,0.131258166,0.032060055,0.010541091,699.3225708,0.000701958,3964237.5
6,0.000428972,0.187152338,0.070430204,0.032090146,0.037901796,0.022031265,0.050722493,0.047813881,0.248161713,0.186479248,0.053059549,0.003668909,0.060059487,715.4451904,0.000615449,5952369
7,0.000440574,0.007478259,0.128314904,0.009782136,0.068402816,0.015799177,0.103423591,0.177113289,0.147091167,0.049807164,0.107749656,0.061020582,0.123576684,638.5378418,0.000401779,8063993
8,0.000487347,0.008532949,0.195984325,0.008328328,0.041622871,0.016263285,0.169275521,0.118393355,0.108546643,0.098660142,0.107600917,0.005256428,0.121047889,668.1572266,0.000482272,6961285
9,0.000505114,0.042041126,0.040567033,0.141834487,0.185365461,0.002071467,0.231868997,0.027594361,0.144010796,0.088786804,0.000377211,0.058547326,0.036429818,670.0180664,0.000571856,4816897
10,0.000540341,0.026765823,0.097211528,0.103511967,0.058911179,0.067285714,0.036045605,0.101713567,0.234597066,0.103069258,0.0082686,0.023363944,0.138715408,664.2310181,0.000485884,6686547
11,0.000664399,0.041102154,0.043163918,0.001808319,0.196237596,0.22962221,0.181699241,0.006812278,0.05465357,0.157792307,0.013012735,0.051837225,0.021594047,652.1605225,0.000532448,4747621
12,0.000685988,0.071278204,0.050091587,0.104344538,0.127658021,0.027728951,0.022800128,0.027781058,0.352900628,0.029520564,0.077441049,0.100206492,0.007562792,673.529541,0.000525525,5939010
13,0.000707119,0.060750421,0.0010308,0.106306139,0.003488541,0.077742311,0.146475683,0.22601588,0.108253501,0.038872634,0.089394938,0.080903907,0.060058126,634.8831177,0.000413385,7110216
14,0.000746011,0.111693137,0.129589159,0.090986564,0.002142737,0.011421344,0.063189826,0.05354106,0.050060631,0.149358953,0.136520281,0.096858848,0.10389145,712.2610474,0.000569222,6982394
15,0.000762816,0.134166627,0.019592231,0.031271976,0.048581327,0.102630497,0.15283323,0.001067606,0.00046005,0.142544614,0.02981999,0.088166605,0.248102432,691.7218628,0.00046618,8898812
16,0.000775366,0.001400409,0.122756414,0.019353536,0.124164575,0.189511319,0.070718198,0.156566139,0.050057183,0.18533831,0.013605413,0.02405794,0.041695198,652.3134155,0.000519039,5135744
17,0.000805436,0.122090562,0.189957907,0.04898748,0.002593613,0.002786142,0.150942858,0.043953475,0.024888036,0.013313408,0.057058627,0.236238846,0.10638361,729.0212402,0.000632545,6483581
18,0.000921483,0.034278819,0.000894091,0.10995269,0.087484292,0.206718148,0.193077416,0.093166804,0.026432542,0.000794235,0.051596907,0.146891121,0.047791452,643.2077026,0.000484104,5623016
19,0.001096957,0.003975416,0.083999709,0.150823667,0.007627255,0.129453703,0.124832458,0.14331346,0.027466801,0.036895489,0.054155071,0.09613626,0.140223754,656.7301636,0.00047579,6722801
20,0.001199125,0.182881921,0.009366711,0.00896893,0.043967823,0.104214152,0.172871013,0.060723817,0.02146192,0.28961852,0.012572501,0.073730228,0.018423339,696.2811279,0.000555526,6204122
21,0.001260752,0.010246118,0.022295906,0.021402997,0.0098484,0.012237164,0.162762649,0.075760911,0.328774797,0.124743155,0.094807575,0.021237228,0.114622347,544.8881836,0.000279719,8005808
22,0.001288659,0.026939158,0.171859774,0.079098162,0.037266257,0.105723855,0.040919258,0.078569548,0.073142142,0.153678402,0.177702311,0.007741585,0.04607089,684.2096558,0.000556118,5858148
23,0.001344296,0.133364182,0.032204811,0.00578661,0.046028695,0.023038739,0.203110867,0.038986871,0.054850477,0.222931661,0.166596744,0.021925859,0.049830189,674.8759155,0.000467787,7552877
24,0.001446812,0.062263763,0.070685664,0.002139416,0.085015146,0.165387386,0.154610719,0.065117971,0.146802713,0.008269802,0.217417341,0.014698991,0.006144276,657.3293457,0.00049402,5808804
25,0.001467578,0.02866342,0.120815921,0.227197413,0.101987279,0.237749451,0.072240137,0.055115982,0.07480178,0.016007238,0.002076749,0.012946071,0.04893098,700.1035156,0.00075234,3423109
26,0.00148023,0.015699371,0.092819076,0.004916582,0.255582156,0.0223973,0.037979451,0.195649178,0.051824922,0.070282143,0.170454911,0.010954795,0.069959884,654.4550781,0.000490226,6027157
27,0.001585846,0.073279695,0.043560399,0.106481199,0.113164888,0.013691753,0.081994792,0.095347126,0.144014472,0.238549823,0.032656532,0.023372596,0.032300879,671.6195679,0.000522797,5867276
28,0.001658611,0.040825763,0.061958949,0.099990616,0.063464371,0.25011009,0.057228282,0.019671529,0.052983236,0.128369358,0.144856647,0.021469874,0.057412673,666.5395508,0.000530835,5582761
29,0.001714562,0.058605332,0.040887479,0.022739278,0.095830097,0.047532711,0.114559027,0.08015088,0.111388226,0.196993035,0.01948439,0.088768668,0.121346316,643.4932251,0.000404598,8193287
30,0.001747186,0.036854068,0.17836401,0.284132026,0.085133558,0.084323618,0.205760122,0.01032655,0.006043788,0.049839854,0.006646343,0.03601765,0.014811226,716.8690796,0.000839922,3085041.5
31,0.001783092,0.16568033,0.243783513,0.054216848,0.07297847,0.051843652,0.000264593,0.098232547,0.051766602,0.069674575,0.064284028,0.089511724,0.035980029,747.178772,0.000856108,3981059.5
32,0.001858461,0.071856547,0.158440841,0.145749597,0.014938921,0.142798654,0.123063915,0.08791516,0.128924373,0.008803507,0.043566315,0.072004754,7.90E-05,707.5371094,0.000706373,4170241.5
33,0.001895114,0.125295423,0.022749119,0.139227533,0.06543288,0.046822992,0.026222873,0.083237054,0.09557851,0.22830799,0.101251647,0.02179122,0.042187645,695.1115723,0.000569733,5969391
34,0.002044476,0.027793255,0.058660564,0.31952608,0.129158875,0.047637292,0.09632044,0.050988183,0.026090522,0.004365554,0.073870827,0.019372781,0.144171151,699.2754517,0.000679428,4525106.5
35,0.002121885,0.032985581,0.016978957,0.305620311,0.155805904,0.019555475,0.05396577,0.002183684,0.061993994,0.058109391,0.04394986,0.110357402,0.136371786,690.538208,0.00060622,5418385.5
36,0.002202526,0.029957429,0.05285499,0.170933378,0.003983315,0.15073676,0.056418608,0.001261614,0.059874643,0.028504333,0.323848451,0.008954619,0.110469334,662.6956787,0.000468847,7231359
37,0.002212883,0.185484421,0.195981053,0.026322383,0.164766499,0.039913653,0.033933287,0.115522673,0.010117743,0.078588252,0.02724832,0.041152124,0.078756707,745.8775024,0.000861761,3862714.5
38,0.002260386,0.027521784,0.028405982,0.078589886,0.312550704,0.011267816,0.024525293,0.009955012,0.175426975,0.082532693,0.020566797,0.071454827,0.154941845,662.7949219,0.000506516,6276377
39,0.002381084,0.101776665,0.069722459,0.065692234,0.177219495,0.009011123,0.01153829,0.116257947,0.183163551,0.022292058,0.15783286,0.081454295,0.001657939,694.3306274,0.000587701,5572092
40,0.002466203,0.026978545,0.013202374,0.007772723,0.026030285,0.10038421,0.041431075,0.128897265,0.033826661,0.080056746,0.156512311,0.263196215,0.119245387,561.5446777,0.000249206,12161434
41,0.002523716,0.032008057,0.179717679,0.252415328,0.154918702,0.027577258,0.00661634,0.037579033,0.130508975,0.012144431,0.093474006,0.034788195,0.03572828,716.8241577,0.000789539,3675668.5
42,0.002539146,0.067100851,0.055102152,0.046787439,0.145541487,0.062487322,0.000261363,0.008148881,0.228943934,0.254207318,0.041811666,0.049711053,0.037357387,665.3165283,0.000490886,6453154
43,0.002696542,0.093646259,0.071872122,0.101141276,0.17790595,0.02942491,0.04312167,0.024987532,0.079997286,0.073648292,0.11645368,0.130531276,0.054573203,701.7276611,0.00060161,5777942.5
44,0.002879509,0.066848042,0.089210947,0.045703512,0.008903465,0.037837428,0.068524154,0.10505215,0.01008697,0.300541734,0.116551505,0.139340712,0.00851987,661.6725464,0.000433142,8111322
45,0.002990527,0.132001108,0.003515483,0.032676782,0.158993912,0.041972152,0.031756434,0.10827086,0.076772896,0.030657793,0.088536192,0.111990264,0.179865598,691.6357422,0.00049255,8006508
46,0.002992113,0.062112539,0.083592161,0.109514372,0.116430982,0.141574799,0.009940207,0.122934558,0.23459439,0.001997489,0.009645154,0.072317978,0.032353259,686.732666,0.000613045,4792324
47,0.003008974,0.000700114,0.043892108,0.075987868,0.098495713,0.141470989,0.143418659,0.17924093,0.086590754,0.116272628,0.009735494,0.006045794,0.095139975,627.7210693,0.000464867,5509211
48,0.003151739,0.108324405,0.014222967,0.043997378,0.047602945,0.08689334,0.134522234,0.13987158,0.126082915,0.010109017,0.097649184,0.015144129,0.172428166,671.2814941,0.000462861,7708571
49,0.003194698,0.160408798,0.094412999,0.152200223,0.134549095,0.012718967,0.064031322,0.104529334,0.047545167,0.062855607,0.014751306,0.007570266,0.141232219,733.5728149,0.000775491,4404772.5
50,0.003300433,0.005127285,0.025895356,0.063186246,0.192437566,0.087003837,0.251720823,0.0242816,0.012203984,0.053630326,0.269415703,0.006312956,0.005483886,628.5631714,0.000476982,5212769
51,0.003359662,0.062255386,0.066569745,0.000377091,0.02704846,0.055253474,0.092887521,0.05462321,0.017763998,0.026148166,0.361896735,0.112149711,0.119666842,641.572876,0.000346932,11173997
52,0.003396148,0.163068993,0.040507602,0.072521398,0.148072234,0.11761315,0.017538893,0.208265725,0.004106619,0.040915525,0.117194,0.056381957,0.010417755,713.8137207,0.000687572,4639130.5
53,0.003703838,0.021019474,0.148754221,0.18600307,0.197975849,0.040806585,0.001585829,0.01361581,0.143437898,0.101609562,0.019417205,0.008593889,0.113476769,704.302063,0.000699096,4402150.5
54,0.003910798,0.031052432,0.116698417,0.04986741,0.014724775,0.00490304,0.008049032,0.086713253,0.11213146,0.042517578,0.13150884,0.215835977,0.182086988,659.1698608,0.000368822,11380262
55,0.003918551,0.204253901,0.026665683,0.055836863,0.080091916,0.052180549,0.002716723,0.20942611,0.010198421,0.070694004,0.059544303,0.034096662,0.190376311,727.5060425,0.000631433,6373800
56,0.004193506,0.010573384,0.060963031,0.111415909,0.043847302,0.214158156,0.007792743,0.086108444,0.001329077,0.132671096,0.124778837,0.028628585,0.173539929,651.3389282,0.000453567,7245542
57,0.004431796,0.012478872,0.011862441,0.078050704,0.118829455,0.001265448,0.32772037,0.08397392,0.047735095,0.003692703,0.09140788,0.00466684,0.213884476,620.7103271,0.000402262,7386547
