,CO2,CH4,C2,C3,C4,C5,C6,C7+(1),C7+(2),C7+(3),C7+(4),C7+(5),Tc_NR,Vc_NR,Pc_NR
0,3.30E-05,0.050942087,0.059059208,0.005469956,0.013244858,0.101246598,0.465288995,0.045494921,0.010996698,0.082350071,0.154931304,0.010942257,710.5050049,0.000448741,7643862
1,0.000111581,0.028508782,0.041271606,0.029013902,0.052454821,0.202935268,0.105438891,0.206475494,0.015099578,0.044258802,0.084789682,0.189641594,832.3349609,0.000547724,8223020
2,0.000299841,0.108689878,0.040984173,0.099855385,0.138276773,0.18390171,0.001704382,0.09981109,0.189649856,0.018875395,0.048772675,0.069178843,718.1219482,0.000358488,11464790
3,0.00046336,0.142405666,0.181842861,0.002687523,0.000524449,0.061757637,0.118937977,0.034559905,0.045632981,0.128251827,0.251655182,0.031280633,789.9750977,0.000596969,7295954
4,0.000630561,0.120311366,0.07290026,0.269908073,0.080378562,0.038994547,0.012088743,0.008187946,0.266170067,0.038722476,0.090727957,0.000979443,691.7223511,0.000417839,9108584
5,0.000747947,0.030099704,0.027672689,0.007163514,0.09028591,0.151076157,0.088072353,0.095554226,0.312786419,0.139741841,0.030141081,0.026658158,711.1860352,0.000548569,5123863
6,0.000756892,0.005669368,0.042968219,0.05346671,0.11335885,0.027349395,0.102771743,0.153034253,0.033445446,0.152821941,0.205674035,0.108683147,815.5995483,0.000678107,5480364
7,0.000890569,0.009483642,0.217380239,0.071796562,0.055921415,0.044082494,0.078855864,0.003405175,0.255389329,0.229832929,0.010707774,0.022254009,716.0892944,0.000527974,6379307
8,0.000950792,0.031897597,0.023546006,0.006339825,0.065373723,0.616352426,0.016073825,0.066422196,0.013733346,0.131455712,0.02491381,0.002940741,624.5289307,0.000344429,7781182
9,0.000958747,0.007287278,0.074623632,0.183834338,0.018040932,0.098598716,0.0742041,0.026057261,0.174739659,0.240363501,0.048075656,0.05321618,750.1408691,0.000545389,6460122
10,0.000974852,0.006134829,0.007236717,0.021849611,0.029969504,0.157057298,0.258807032,0.236113249,0.002892547,0.104770835,0.070101311,0.104092216,761.8267212,0.000472784,7585836
11,0.001117636,0.014927905,0.001196467,0.214541849,0.217920235,0.080011639,0.015391819,0.141250886,0.003006736,0.013859508,0.050974182,0.245801138,867.9500732,0.000541175,9812724
12,0.001125259,0.053220096,0.07567787,0.077255561,0.15696059,0.020496192,0.361029095,0.073138504,0.046182255,0.003878469,0.085802647,0.045233462,675.623291,0.000306169,12225070
13,0.001201628,0.003089529,0.160985858,0.097698241,0.019584426,0.020679714,0.043204835,0.121236532,0.123618877,0.13439874,0.197113526,0.077188096,800.3599854,0.000643519,5968326
14,0.001339171,0.025779078,0.020260151,0.134148333,0.196581773,0.011280086,0.029507822,0.068735568,0.075884403,0.01914858,0.285279328,0.132055708,840.383667,0.000683629,6235089
15,0.001687476,0.008927745,0.018930912,0.257486509,0.032076903,0.001498904,0.097968979,0.063914161,0.038874945,0.438646085,0.002861063,0.037126318,746.8011475,0.000609188,5445859
16,0.001704165,0.053064305,0.042341238,0.026138345,0.194750203,0.05665639,0.120825969,0.212586394,0.068244582,0.088006104,0.120763008,0.014919297,713.3571777,0.000461207,7298604
17,0.001950518,0.058621432,0.043948474,0.041819258,0.045747731,0.044812902,0.292597951,0.195185027,0.068407449,0.055846411,0.084099005,0.066963843,732.6315308,0.000421082,8680014
18,0.00196088,0.081803101,0.397997543,0.102856361,0.207745199,0.002788848,0.006584663,0.003853921,0.065258428,0.010976089,0.081764837,0.036410129,675.2989502,0.000233066,22191158
19,0.001972635,0.235836972,0.123598778,0.122063549,0.006777584,0.015531226,0.110904507,0.032801226,0.239303494,0.054393533,0.05473307,0.002083425,677.7998047,0.00038498,10211746
